dbprimary_acc	display_label	description
IPR011050	Pectin_lyase_fold/virulence	Pectin lyase fold/virulence factor
IPR000719	Prot_kinase_dom	Protein kinase domain
IPR008271	Ser/Thr_kinase_AS	Serine/threonine-protein kinase, active site
IPR032675	LRR_dom_sf	Leucine-rich repeat domain superfamily
IPR011009	Kinase-like_dom_sf	Protein kinase-like domain superfamily
IPR001611	Leu-rich_rpt	Leucine-rich repeat
IPR000742	EGF-like_dom	EGF-like domain
IPR006212	Furin_repeat	Furin-like repeat
IPR009030	Growth_fac_rcpt_cys_sf	Growth factor receptor cysteine-rich domain superfamily
IPR001577	Peptidase_M8	Peptidase M8, leishmanolysin
IPR000768	ART	NAD:arginine ADP-ribosyltransferase, ART
IPR015943	WD40/YVTN_repeat-like_dom_sf	WD40/YVTN repeat-like-containing domain superfamily
IPR036322	WD40_repeat_dom_sf	WD40-repeat-containing domain superfamily
IPR002859	PKD/REJ-like	PKD/REJ-like domain
IPR017853	Glycoside_hydrolase_SF	Glycoside hydrolase superfamily
IPR015915	Kelch-typ_b-propeller	Kelch-type beta propeller
IPR001841	Znf_RING	Zinc finger, RING-type
IPR013083	Znf_RING/FYVE/PHD	Zinc finger, RING/FYVE/PHD-type
IPR001047	Ribosomal_S8e	Ribosomal protein S8e
IPR042563	Ribosomal_protein_S8e_euk	Ribosomal protein S8e subdomain, eukaryotes
IPR022309	Ribosomal_S8e/biogenesis_NSA2	Ribosomal protein S8e/ribosomal biogenesis NSA2
IPR020683	Ankyrin_rpt-contain_dom	Ankyrin repeat-containing domain
IPR036770	Ankyrin_rpt-contain_sf	Ankyrin repeat-containing domain superfamily
IPR002110	Ankyrin_rpt	Ankyrin repeat
IPR036047	F-box-like_dom_sf	F-box-like domain superfamily
IPR019734	TPR_repeat	Tetratricopeptide repeat
IPR013026	TPR-contain_dom	Tetratricopeptide repeat-containing domain
IPR011990	TPR-like_helical_dom_sf	Tetratricopeptide-like helical domain superfamily
IPR001440	TPR_1	Tetratricopeptide repeat 1
IPR003107	HAT	HAT (Half-A-TPR) repeat
IPR006597	Sel1-like	Sel1-like repeat
IPR003409	MORN	MORN motif
IPR038581	ODC_AZ_sf	Ornithine decarboxylase antizyme superfamily
IPR002993	ODC_AZ	Ornithine decarboxylase antizyme
IPR016181	Acyl_CoA_acyltransferase	Acyl-CoA N-acyltransferase
IPR001752	Kinesin_motor_dom	Kinesin motor domain
IPR019821	Kinesin_motor_CS	Kinesin motor domain, conserved site
